environment,thread count,ok,benchmark,iterations,min [ms],max [ms],avg [ms],stddev [ms],median [ms],p05 [ms],p95 [ms],avg [ms]
none_gc,33,[OK],montecarlo.PiMultiThreadBenchmark,5,111.162,113.025,112.212,0.652,112.184,113.025,111.162,112.212
none_gc,34,[OK],montecarlo.PiMultiThreadBenchmark,5,107.066,112.987,110.762,2.010,111.004,112.987,107.066,110.762
none_gc,35,[OK],montecarlo.PiMultiThreadBenchmark,5,112.122,114.490,113.433,0.789,113.362,114.490,112.122,113.433
none_gc,36,[OK],montecarlo.PiMultiThreadBenchmark,5,111.897,113.692,112.762,0.590,112.874,113.692,111.897,112.762
none_gc,37,[OK],montecarlo.PiMultiThreadBenchmark,5,111.715,114.385,113.313,0.872,113.470,114.385,111.715,113.313
none_gc,38,[OK],montecarlo.PiMultiThreadBenchmark,5,112.230,114.228,113.059,0.710,113.126,114.228,112.230,113.059
none_gc,39,[OK],montecarlo.PiMultiThreadBenchmark,5,112.696,112.901,112.789,0.079,112.813,112.901,112.696,112.789
none_gc,40,[OK],montecarlo.PiMultiThreadBenchmark,5,112.896,114.850,113.597,0.668,113.304,114.850,112.896,113.597
boehm_gc,1,[OK],montecarlo.PiMultiThreadBenchmark,5,152.143,267.557,209.923,46.401,185.777,267.557,152.143,209.923
boehm_gc,2,[OK],montecarlo.PiMultiThreadBenchmark,5,87.788,101.445,95.200,4.691,96.167,101.445,87.788,95.200
boehm_gc,3,[OK],montecarlo.PiMultiThreadBenchmark,5,75.550,93.412,79.969,6.786,76.314,93.412,75.550,79.969
boehm_gc,4,[OK],montecarlo.PiMultiThreadBenchmark,5,73.619,106.735,92.461,11.009,96.372,106.735,73.619,92.461
boehm_gc,5,[OK],montecarlo.PiMultiThreadBenchmark,5,60.977,99.277,80.949,14.809,75.532,99.277,60.977,80.949
boehm_gc,6,[OK],montecarlo.PiMultiThreadBenchmark,5,74.670,101.790,83.556,9.793,79.438,101.790,74.670,83.556
boehm_gc,7,[OK],montecarlo.PiMultiThreadBenchmark,5,65.804,91.278,78.957,8.923,76.639,91.278,65.804,78.957
